Plot,GroupIndex,CUIndex,Species,CU_ID,CU_Name,Group,CU_Acro
Chinook_SBC,1,2,Chinook,CK_03,Lower Fraser River_FA_0.3,CK-Fraser_Lower,LFR-fall
Chinook_SBC,1,3,Chinook,CK_04,Lower Fraser River_SP_1.3,CK-Fraser_Lower,LFR-spring
Chinook_SBC,1,4,Chinook,CK_05,Lower Fraser River-Upper Pitt_SU_1.3,CK-Fraser_Lower,LFR-UPITT
Chinook_SBC,1,5,Chinook,CK_06,Lower Fraser River_SU_1.3,CK-Fraser_Lower,LFR-summer
Chinook_SBC,1,6,Chinook,CK_07,Maria Slough_SU_0.3,CK-Fraser_Lower,Maria
Chinook_SBC,8,9,Chinook,CK_08,Middle Fraser-Fraser Canyon_SP_1.3,CK_Fraser_Mid_Upper,FRCanyon
Chinook_SBC,8,10,Chinook,CK_09,Middle Fraser River-Portage_FA_1.3,CK_Fraser_Mid_Upper,Portage
Chinook_SBC,8,11,Chinook,CK_10,Middle Fraser River_SP_1.3,CK_Fraser_Mid_Upper,MFR-spring
Chinook_SBC,8,12,Chinook,CK_11,Middle Fraser River_SU_1.3,CK_Fraser_Mid_Upper,MFR-summer
Chinook_SBC,8,13,Chinook,CK_12,Upper Fraser River_SP_1.3,CK_Fraser_Mid_Upper,UFR-spring
Chinook_SBC,15,16,Chinook,CK_13,South Thompson_SU_0.3,CK-Fraser_Thompson,STh-0.3
Chinook_SBC,15,17,Chinook,CK_14,South Thompson_SU_1.3,CK-Fraser_Thompson,STh-1.3
Chinook_SBC,15,18,Chinook,CK_15,Shuswap River_SU_0.3,CK-Fraser_Thompson,STh-SHUR
Chinook_SBC,15,19,Chinook,CK_16,South Thompson-Bessette Creek_SU_1.2,CK-Fraser_Thompson,STh-BESS
Chinook_SBC,15,20,Chinook,CK_17,Lower Thompson_SP_1.2,CK-Fraser_Thompson,LTh
Chinook_SBC,15,21,Chinook,CK_18,North Thompson_SP_1.3,CK-Fraser_Thompson,NTh-spr
Chinook_SBC,15,22,Chinook,CK_19,North Thompson_SU_1.3,CK-Fraser_Thompson,NTh-sum
Chinook_SBC,15,23,Chinook,CK_82,Upper Adams River_SU_x.x,CK-Fraser_Thompson,UADAMS
Chinook_SBC,25,26,Chinook,CK-01,Okanagan_1.x,CK-Columbia,OK
Chinook_SBC,28,29,Chinook,CK-02,Boundary Bay_FA_0.3,CK-Inner_South_Coast,BB
Chinook_SBC,28,30,Chinook,CK-20,Southern Mainland-Georgia Strait_FA_0.x,CK-Inner_South_Coast,SMn-GStr
Chinook_SBC,28,31,Chinook,CK-28,Southern Mainland-Southern Fjords_FA_0.x,CK-Inner_South_Coast,SMn-SFj
Chinook_SBC,28,32,Chinook,CK-21,East Vancouver Island-Goldstream_FA_0.x,CK-Inner_South_Coast,Goldstr
Chinook_SBC,28,33,Chinook,CK-22,East Vancouver Island-Cowichan & Koksilah_FA_0.x,CK-Inner_South_Coast,CWCH-KOK
Chinook_SBC,28,34,Chinook,CK-23,East Vancouver Island-Nanaimo_SP_1.x,CK-Inner_South_Coast,NanR-spr
Chinook_SBC,28,35,Chinook,CK-25,East Vancouver Island-Nanaimo & Chemainus_FA_0.x,CK-Inner_South_Coast,EVI-fall
Chinook_SBC,28,36,Chinook,CK-27,East Vancouver Island-Qualicum & Puntledge_FA_0.x,CK-Inner_South_Coast,QP-fall
Chinook_SBC,28,37,Chinook,CK-29,East Vancouver Island-North_FA_0.x,CK-Inner_South_Coast,NEVI
Chinook_SBC,28,38,Chinook,CK-83,East Vancouver Island - Georgia Strait Summer 0.3,CK-Inner_South_Coast,GS-Sum
Chinook_SBC,28,39,Chinook,CK-34,Homathko_SU_x.x,CK-Inner_South_Coast,Homa
Chinook_SBC,28,40,Chinook,CK-35,Klinaklini_SU_1.3,CK-Inner_South_Coast,Klina
Chinook_SBC,42,43,Chinook,CK-31,West Vancouver Island-South_FA_0.x,CK_WCVI,SWVI
Chinook_SBC,42,44,Chinook,CK-32,West Vancouver Island-Nootka & Kyuquot_FA_0.x,CK_WCVI,NoKy
Chinook_SBC,42,45,Chinook,CK-33,West Vancouver Island-North_FA_0.x,CK_WCVI,NWVI
CohoPinkChum,1,2,Coho,CO_01,Middle Fraser,CO-Fraser_Int,MFr
CohoPinkChum,1,3,Coho,CO_02,Fraser Canyon,CO-Fraser_Int,FrCny
CohoPinkChum,1,4,Coho,CO_03,Lower Thompson,CO-Fraser_Int,Lthom
CohoPinkChum,1,5,Coho,CO_04,North Thompson,CO-Fraser_Int,NTh
CohoPinkChum,1,6,Coho,CO_05,South Thompson,CO-Fraser_Int,STh
CohoPinkChum,8,9,Pink,PKO_01,Fraser Pink,PK_Fraser,Fraser
CohoPinkChum,11,12,Chum,CM_02,Lower Fraser Chum,CM-Fraser,LowerFraser
Sockeye_Fraser,1,2,Sockeye,CU_18,Takla_Trem_EStu,SK-Fraser_Estu,Estu
Sockeye_Fraser,4,5,Sockeye,CU_1,Bowron_ES,SK-Fraser_Esum,ES_Bowr
Sockeye_Fraser,4,6,Sockeye,CU_14,Nahatlatch_ES,SK-Fraser_Esum,ES_Naha
Sockeye_Fraser,4,7,Sockeye,CU_15,Taseko_ES,SK-Fraser_Esum,ES_Tas
Sockeye_Fraser,4,8,Sockeye,CU_17,Chilliwack_ES,SK-Fraser_Esum,ES_Chill
Sockeye_Fraser,4,9,Sockeye,CU_19,Anderson_Seton_ES,SK-Fraser_Esum,ES_AndSet
Sockeye_Fraser,4,10,Sockeye,CU_2,Kamloops_ES,SK-Fraser_Esum,ES_Kaml
Sockeye_Fraser,4,11,Sockeye,CU_20,Shuswap_ES,SK-Fraser_Esum,ES_Shu
